name|key
barley production, Swiss integrated production, extensive|ffe2f7d407b716fb10ef09cade645553
electricity production, wind, 1-3MW turbine, onshore|b02656b00222c98aea4e109ac10a8cd3
heavy mineral sand quarry operation and titania slag production|8b0f0288810672c783885f1f35c8a06d
market for bagasse, from sugarcane|c0078eb789f569d2cfde477e257f318a
bromopropane production|1ca629e21bdafc3a2738b38a7a94b918
sugarcane processing, traditional autonomous plant|0e2b25c075ab95262dfb7f5616158811
market for carbon monoxide|c07eb0c5069f5aaca2bc18eed894e7e0
tram track construction|0f1bd3043b046ecdef9c5e4cff0a87cc
land already in use, perennial cropland to annual crop|b6c897f137d9a1b4f2dc62f0f971b421
market for ethylenediamine|b4919aaf8aa36a06a8efe6e7d73ec0f1
market for transport, freight, lorry 16-32 metric ton, EURO5|7d95a40528647e76805cfd338d77b5ea
market for weaned calves, live weight|43b84aa1c677fdac87e919cf7a1e2768
aluminium production, primary, liquid, prebake|1b5f175eeff34557ac9a44bfa2864aff
market for waste glass|276bdd4be435f01ce7c9fd2a832d62e4
collection of polystyrene scrap, post-consumer|0980a98551684bb3b18c6dc3fbc5d2cf
alkyd resin production, long oil, product in 70% white spirit solution state|ec6a5cfa56caa72225a45438bb2db69f
electricity production, peat|68cc95770ce91b883c5b8bfba94eae0b
market for polyethylene, high density, granulate, recycled|65c97d4bee1366dd432354d19ec99df6
electricity production, wind, 1-3MW turbine, onshore|533675883840b17afbf0388501859829
treatment of waste mineral plaster, collection for final disposal|4cac945bf9339c27c50e15f046878fe3
white asparagus production|f2ef74587dfc7f3db29d42a0f2ef8460
uranium production, centrifuge, enriched 3.9%|7e35c585201b3b810e14fb0805808cd7
electricity production, wind, 1-3MW turbine, offshore|7a7d485ac50c11f059d4ebfb8850813e
electricity production, hydro, reservoir, alpine region|ec8847a4341b96d0a67c0d9734bb52ee
electric scooter production, without battery|ccc9591e8343f743f7ddea3424074954
photovoltaic slanted-roof installation, 3kWp, a-Si, laminated, integrated, on roof|89819abcc96e4cf43643da108dd09805
market group for electricity, high voltage|e269ea8d1b9149fbda0b05f78aa85079
electricity, high voltage, import from IR|64d594043111cf8605adbc1f9353ca45
market for maize seed, organic, at farm|8baa2192325e5f6b84e4d81ee8b4eb9e
hay production|5ccfda6349c063d9ab74693896110a67
heat and power co-generation, biogas, gas engine|b6871599bcddb2d4ec99b1bad0032269
electricity production, natural gas, conventional power plant|a3dba2bdcc298021909c80da1bec53d3
electricity, high voltage, import from VE|9f89f7b432b9c49cdf3be32f574c3548
treatment of waste vapour barrier, flame-retarded, municipal incineration|ff6f2ed873dbeacd8519766bb3e5a9a2
electricity production, hydro, run-of-river|78d62456d55717242831edede0afa392
trout, production in semi-intensive system, in lake|6b5d60f28f0732e0b025a995176e3dbb
clear-cutting, grassland to arable land, perennial crop|ff979b4cf5f96c055584bb3eb5996acc
heat and power co-generation unit construction, organic Rankine cycle, 3MW electrical|11d0cc0d54ac732c96bd092a18cfbd36
heat and power co-generation, biogas, gas engine|f8237e3f24e56ddfef331d9c932bb049
maize seed production, Swiss integrated production, at farm|0f71dcf7edbb8b1ae5af69b51204029e
electricity production, nuclear, pressure water reactor|f502ac71c93d25d7932faeb6cf75f6f6
petroleum and gas production, off-shore|e50af78934b6a72b470ec2dfddcd0adc
heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical|8297b6c79144ce94d2e3425556ae2e1f
market for land use change, annual crop|262d4cb82f79227991bea04f69a397d3
market for electricity, medium voltage|2706b67d024470fcb7c06823cf6baaeb
operation, solar collector system, Cu flat plate collector, one-family house, for combined system|ad14fdb78046667d4a753ab25fd39134
arsine production|5789df77c0742b4a6b7e60900fa5156d
market for maintenance, bicycle|00230017acc45a91093e4f6607dabf0a
market for used blower and heat exchange unit central, 600-1200 m3/h|a9d4430ba72552f5d57cbf737bb03146
treatment of used blower and heat exchange unit, Storkair G 90|38c8016f23a9dd2f48c67f61266926a8
water pump operation, electric|9f5854d940dc8a2f9b895009877cb74f
electricity production, nuclear, pressure water reactor|1a2efb6fb0c3620926400d72028ae774
electricity, high voltage, import from IN-North-eastern grid|895787aa72fd625894f33fd42752396b
light mortar production|f4a44b2a5f8dc2e27b55739cdaf62176
electricity production, natural gas, conventional power plant|e425ab48395600905f977d842b2063d7
market for sodium arsenide|2ff601e0f359c921da06542accdc9977
market for maintenance, micro gas turbine, 100kW electrical|8ac93531c47e4bec25e1b2c4546de910
market for sulfite pulp, bleached|b8f6be7100b0eb7ce46e0c89fe068d19
grass production, organic, intensive|f6831b5f4b3d1e57f7c2d81a3557c076
potassium sulfate production|95a71deb24397b8575daf30f6206f7aa
polyurethane production, flexible foam|664f297d7f28ead49acfac8544532a60
steel milling, small parts|300ae9dcf86b463149aca588515f03ce
treatment of wastewater from pig iron production, capacity 5E9l/year|b85508563a23745aede6b056df23de73
beam, softwood, raw, kiln drying to u=10%|2d5c0b5e23d274063f1d56b606d05c33
market for heating and sanitary equipment, heat and power co-generation unit, 160kW electrical|b7669edd52ff73cf50cce31f6dee6b5f
market group for transport, freight train|9e8a056b95a29211f1fe850f4c72e066
glycine production|deb56004afbced6e4a7a4b4c5986928b
