name|key
land already in use, annual cropland to perennial crop|0dda5e80e2d4e00c442217f6eed9170d
cobalt production|5eea7e647508f17c94e987b802aa5c9e
ammonium nitrate phosphate production|cff7bcbd31658109273d8ccbcc5d1d1c
market group for electricity, low voltage|11ff27abfec28dabca488365e9a7aaa3
transport, freight train, diesel|4be718453e0093fe0e6dafa701778d92
market for maintenance, locomotive|6de0b3e709655f7b25998fb389c89393
land already in use, annual cropland to perennial crop|b54eebc684c4234bf497ef2a2a1667c2
market for wooden board factory, cement bonded boards|2f7ce9b428a905737620b0053a9e2cba
treatment of aluminium scrap, post-consumer, by collecting, sorting, cleaning, pressing|1ee0c174b667f03fa65cd807972ff8f9
market for electricity, high voltage|b8b8fc7ae02cfcd383b1c86273a3262a
2-methylpentane to generic market for solvent, organic|7cd499f071d093fb24e688a5b81915fb
market for cabbage white|39245b16efa03db750af7a9e25bccbac
cement production, pozzolana and fly ash 11-35%|4769a3b3617edba83306b246b19d4ee2
land use change, pasture, man made|d4668acf5a3a9467eb1ad285c632c28c
market for waste polyethylene|ed912f9ab056da5a5aa32223d510b086
market for lorry with refrigeration machine, R134a as refrigerant, 16 metric ton|2fac858718a1e747ed501cd3b6642fb9
stone groundwood pulp production|753763b527527320ae2218fc4189ca49
market for electricity, medium voltage|5b4e6e0bec7fc0dcb163e885df4bf791
treatment of blast furnace gas, in power plant|166f9f286dfe01eb59e6e1b3c38e3390
market for residue from mechanical treatment, cathode ray tube display|bd27ccee788731550038578940dc831d
market for chlorosulfonic acid|b64c91c20c50a17b4d9ac053339d94d1
planing, board, softwood, u=20%|cf4d06e1689b2e76792220177e0de7a1
cobwork production|94135a428f47e57fd9d84047c6d3c285
market for ammonium carbonate|b33bb4dc3a3e293080bca3e7444eaad2
citric acid production|449d0c7fab64ed33671f32c4f81343ac
steel production, chromium steel 18/8, hot rolled|70fd1a5a266e961527f0542a33c2caa3
market for methyl formate|ed6a0694cd7868177bf601686a913fef
market for cement, blast furnace slag 81-95%|5328faa5611bba1aac68a781e8ab1a88
barge tanker production|4dd4144bd3c726f4e97a90d2d3478597
market for waste polypropylene|d887687f887e4ebacf536fac1efdd242
clear-cutting, grassland to arable land, perennial crop|9d58526215b37de9822995200a0bcd6f
laser machining, metal, with YAG-laser, 60W power|2e020d3c9ccd572eaf57d94a6dd6ef08
sawing, softwood|2fe0c0905801463113ae3c074961f134
market for aluminium scrap, post-consumer|4f32fd5285ae079c8a50faea2156357b
chromium steel turning, primarily roughing, conventional|0098128c7a147890667e9af5b6022f62
heat and power co-generation unit construction, 500kW electrical, common components for heat+electricity|e4b8f99e122993df3fe7058221bff3c7
treatment of wastewater from particle board production, capacity 5E9l/year|9aefeee89300e5020338a398e2d2df1d
steel drilling, computer numerical controlled|adc6dd7e824e041df5996c6b037ab71e
market for wastewater from ground granulated blast furnace slag production|a92f9a36e433f130be97a8fc8d3fc352
electricity production, oil|f219aa4999d6eddf5eb7052432f1060c
lignite briquettes factory construction|ad346d3d65e4810ab06dd8b4e5f9481d
land use change, annual crop|2f31b2b0e83a57b16bddee0d8a7c0818
impact extrusion of steel, warm, initial warming|87e0f8072a0f908bfae433a711186cb8
market for evacuated tube collector|12d08f84373dbcd329ef5982f98193df
maintenance, goods wagon|28fed5f0a99a3d0a1e3dfd9f9634d7a4
electricity production, wind, <1MW turbine, onshore|1bb0099bde1caca1975f37323ef5f5bb
market for melamine|4cfe646052a1cbe5ed243e3e73bfe590
heat and power co-generation unit construction, 1MW electrical, components for heat only|d3ae5dc7cf26353a773c1365357ccf87
treatment of waste reinforcement steel, collection for final disposal|bbcb381ceee180dd996df3ee546c7fb8
residential sewer grid construction, 0.087 km|fbbdd171d09da73b2324126e14f1a584
transport, passenger car, large size, diesel, EURO 5|2088a1f9089955cafada4aa2acd73eaa
concrete production 50MPa|0e92be438ab6941d0121b7e0fb5c112c
market for silencer, steel, DN 315, 50 mm|36359b73b3e2a19c678edf5a19bb0358
kerosene production, petroleum refinery operation|f44148c862cd453debebedacd06ced63
casting, bronze|d0dc29fcfcb4d5cc406d1b6dbe002e8f
electricity production, hydro, reservoir, alpine region|7f7b76e2d838cb4705f4ac47dafd828c
heat and power co-generation, oil|d38809a051af4c65595d96bb0145ae96
market for paper, woodfree, coated|a1581a7f831dfcc4d0107e0f11aacfdf
market for operation, computer, desktop, with liquid crystal display, active mode|e190ef1c51bcaf8c78c3df7176dab4c4
electricity production, hydro, pumped storage|cf97e0c1a20e2b0356bd68fe33860192
electricity voltage transformation from high to medium voltage|d297a64a5c4b5bee26364ee06b3bee11
market for waste plastic, mixture|b75cfc02c40bf01fd68ab2fa769a6592
purse seiner maintenance, steel|cfb5217d439c82604a2890866fee06ba
electricity production, medium voltage, petroleum refinery operation|a3cd8272a1deb4867329b43e54b35c55
vanilla production|ad620790a3d015a47c374137eaf37850
iron mine operation and iron ore beneficiation to 65% Fe|a0e01040c12c9eabdb8c5feb4c62d346
