name|key
treatment of waste wood pole, chrome preserved, municipal incineration FAE|fa07e5c0d4558045e77260bf0695817d
electricity production, hard coal|97a03e293746ea24aad7c86ab5d4e0d3
electricity, high voltage, import from IN-Northern grid|21e55d87ebd99fd70205f3e46df19efb
electricity, high voltage, import from GR|679de5c1add0c7234a08ce16655e59e2
market for bottom ash, MSWI-WWT-SLF, waste packaging paper|b18d5e4bb5774d5fe6689bf9114fe50f
melon production|1884e0c83a8e300cb8ddc0630663d45c
land already in use, perennial cropland to annual crop|046256a0c411df6cac6b21b80307fc38
electricity voltage transformation from medium to low voltage|731e09dcccd1880e5d9318452b1df759
heat and power co-generation, biogas, gas engine|eb6ac7e9893b66d4fdc724e939b957e2
market for polyurethane adhesive|ccf34ec1e2a88f1051e3cc777f28175d
market for electricity, high voltage|cb32436f008e9b08e50ae2455cc1810c
market for sewage sludge, 70% water, WWT, WW from ceramic production|aebfb857e09c3d4b971e22fe81db2568
electricity, from municipal waste incineration to generic market for electricity, medium voltage|496b1ead4073e15f8eaa5806d9c6e250
refinery gas production, petroleum refinery operation|4829231bc1f537814ba55927acdbc9b2
treatment of residues, MSWI, municipal solid waste, residual material landfill|daeb5c4c3b7e5261da69d2289e80096e
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted|2ccbe4065a9a5936659ac318ab7cd847
market for bottom ash, MSWI-WWT[U], WW from lorry production|1b9cbce6eb3185a87c447f3947be88d9
market for residues, MSWI-WWT-SLF, waste bitumen|fdfe054047bd99ffa62cc2d04be54e0c
carrot production|5e5661db88f2cb55aac0a8e9d616598d
beverage carton converting|0a28d723dd10063415bbf7f649f5883a
market for basic oxygen furnace secondary metallurgy slag, for recovery|e5581c93c1cd480a76a7939f4521c0e6
market for digester sludge|1a47055b266afba1a59821e57cf6e32a
market for electricity, high voltage|3347f4ca1dd3e418e7601b1128a393c2
electricity, high voltage, import from MK|7ce534b353611a3d66fa1461733e105e
treatment of sewage sludge, 75% water, WWT, WW from soft fibreboard production, sanitary landfill|4fba4973fb171ba6afc809553f61f2de
electricity production, hard coal|fc8715ec275758824095072fcbe3ac2b
irrigation, surface|4c47f3d0ae03d6108f9fb9d6bfaf9273
market for irrigation|d97566770b570ad9d82d0568dbfa4fbb
cobalt production|4c577a481883827cd53b34f5ef221bbb
heat production, wood chips from industry, at furnace 1000kW|020b5cc5f29d1350b9fedcd8ab895a82
blower and heat exchange unit production, Twl-700|67c053da64e286b97c9621610fd9908d
electricity, high voltage, production mix|e3d1d928f6142074397465b9ad9b68e5
lime production, algae|117c02d4eda4626dca074eb40a75ee8f
electricity production, oil|abb620ba717258e69b52bca04e73c77d
treatment of sewage sludge, 97% water, WWT-SLF, waste gypsum, landfarming|a5e0aaa05620393d531f70b43ba36170
containerboard production, linerboard, kraftliner|359cdf4c0b354330ccfe97e03e4de67d
soda production, solvay process|249c2d1a4fafbfb76873e5541ee55bc7
market for leachate, SLF, waste emulsion paint|80cf13370e5623e498471e1155dfc16f
market for xenon, gaseous|2a54b0efec6081a21f28e5d872f39718
suction, shavings, hardwood|06b77e80127bd316385812094b75ec57
potassium sulfate production|6224a151fe8237d1cbf003f4770ee2b3
electricity production, deep geothermal|556ee922fe02ea27d9f9166912913411
electricity voltage transformation, residual mix, from high to medium voltage|5287ad5b624a2c9002e3b2036604f344
cement production, ZN/D, new alternative constituents 36-50%, in conformity with SIA 2049|10a37cf6e3d30235f970707479a4e322
market for land use change, perennial crop|1e261a5935cd4a2f13fe716edf7d759e
air filter production, in exhaust air valve|edf452f66792f930af5df8483b79d0d3
lath, hardwood, raw, kiln drying to u=10%|3ff24214084e2dda75d3f0c56755f513
market for magnesium oxide|ab3bb2051ae776c8afc80b3e5d193ccc
market for thionyl chloride|f70f556cdb7073d5162dda88a4445613
synthetic fuel production, from coal, high temperature Fisher-Tropsch operations|f53434bf6d8141f7e681283c05bb6c8f
titanium dioxide production, chloride process|509002c60ea5f15797b04e69ca0e7241
pig iron production|6f3bee97b8a60bc3ecbe26b7c75de8b8
market for esters of versatic acid|6e9986b8b7048d529957a5a3c873d9b3
treatment of sludge, NaCl electrolysis Hg, residual material landfill|9aae2d72ada835e31315514bf31edd9e
market for electricity, low voltage|20a180319f1fd5d03ec0c97b117897a0
mastic asphalt production|37b10d2113f1f1ef0d18e88bb47b4e3b
market for fibreboard, soft, without adhesives|428d5a781adef616a02bfe6be0923219
