name|key
electricity production, hydro, run-of-river|a9316009e6d7ecc3e662af83051d0bd4
cement production, alternative constituents 45%|db4f18dfe0d9507804c232a2799a0787
casting, brass|29d02f3634ddb470fa8b3fa3f7fbae8e
market for bromine|a7a59e7758669e9327b6a23417b29d74
land already in use, perennial cropland to perennial crop|967ebea8debd0198c706a8b776a5d12a
mounting, through-hole technology, Pb-free solder|5ba58eddca628e65e51f0228a0c613aa
pea seed production, for sowing|d4e76e2e5efe65a66b69c51e21e7487c
treatment of waste polystyrene isolation, flame-retardant, collection for final disposal|f0ef85d3e2b8c0bb856e4f6cede68305
treatment of waste polypropylene, sanitary landfill|ac9b079fe2026630f4b28cee6e26f461
electricity, high voltage, production mix|721e787b7f9b118d810a9a60ad9d08a1
market for polypropylene, granulate|e8b92ec5464b59c6299b3ecfca2a69b8
rye seed production, organic, for sowing|f8e7d4da8dc036101179e3d8b4e8dd06
electricity production, hydro, run-of-river|7f1c3bf444d6487ad571d0f0601430b0
treatment of coal gas, in power plant|cdbd1e9e97167898868d4867b9fb8a36
operation, housing system, cattle, loose|3cfe1bc6613905fe705104660b447920
electricity production, hard coal|dcf4d6219e4ed162198a700aac7e3821
heat and power co-generation, oil|4a2f25aec2b5a9d2036e676d0433c14a
batch dyeing, fibre, cotton|83a97e54b239f5e9d4de3d4fefcfc95e
market for land use change, pasture, man made|80ada5e09579a30f820b26948a41f01a
treatment of coal gas, in power plant|7e5d6138ec04e46cad7d7dd8bb4f1122
market for transport, freight train|f1b03bb592e62c3516df6aeb2413f0e5
silicon production, electronics grade|be17c3a12d18dcf976ca2f26bccc9358
diesel production, low-sulphur, petroleum refinery operation|ae7be25770f7384143d2c0704e356047
heat and power co-generation, natural gas, 50kW electrical, lean burn|f4666d478f842d5fb59b5fd33a077c03
fibreboard production, hard|309ff4dba46bdae3ec446e0c8550f82d
titanium dioxide production, chloride process|64e29de092d75e6ff61fb946ebd66d32
palm oil mill operation|946b0b8a3401f23a9786e49a79adaa82
market group for waste polypropylene|1b25c1368e564c2f4bdb1aa8d172c201
tube insulation production, elastomere|ee598a3ef5ef579976684c658cff0da5
market for plywood, for indoor use|87b94c23486b5339bc65f3295ed21a88
hardwood forestry, oak, sustainable forest management|8d89fda6d7023af81cd426ae9280b49d
heat production, hardwood chips from forest, at furnace 50kW|f1be574682009d6906c51015b7a5af1c
shale quarry operation|bb32723ef3cd574ea70af2efe6036e55
uranium enrichment centrifuge facility construction|cf9137ca563a68b4ed427e973db2625a
treatment of waste x-ray film|563172d863184c420751784e0a912389
treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal|a1e6833869d74d1297bd2fe13ede39df
electricity production, natural gas, combined cycle power plant|52cf7db2a57fb1d48b7465e088030e55
dewatering of ethanol from biomass, from 95% to 99.7% solution state|66263908f502177696d87cc7d30904e9
brazing solder production, cadmium free|c91df7eea4a7931607cc617b7833679d
transport, tram|6ce68a31e04c0cc928bd1ffb40062afa
onion production|c5ad042fac5366239060ec66e2dec6f5
treatment of waste plastic, mixture, open dump, moist infiltration class (300mm)|efdda741f9264ccdba5d39d873a7e53a
market for cable yarding|40946c738127dcdb8e0a72941a562a28
skidder production|5e0ee533f7e20e425bdbf8afa754b5b7
electricity voltage transformation from high to medium voltage|5e7e196460692989889e5cb0c719a524
market for nitrogen, liquid|b1686c432ea1f1830253f2614dd50ee4
treatment of sewage sludge by anaerobic digestion|c608498491de9532b5ed1a10eed6fea4
sanforizing, textile|b05aedc7195e73f147aa6a8c1c769572
limestone production, crushed, for mill|1be05fb3666a6ebd7f67928f436aa5c4
hardwood forestry, birch, sustainable forest management|4ed45de7fb1348b79650045da13ecc2a
market for sulfidic tailings, from gold mine operation|c7019aba1201a50e5ce9c65db5cfbe54
bitumen seal production, V60|f62f70b5e5a296f38944b9b502e531f7
kenaf production, irrigated|b06c3290e4100fa1d4699d42df2f0b7e
market for carbon monoxide|ebcf0d42553c4401151e8143c619c473
market for acrylic acid|98620fccd8d64fdde8581fcdb256c26c
market for electricity, medium voltage|877889b552baaa613304ec6b87e34647
market for iodine|42c88be97dcbaa105049d08aa67b4d81
integrated circuit production, memory type|6fce97f8e7b6788ea4b7eecad04d6495
treatment of waste wood, post-consumer, sorting and shredding|1176b3ed35ff911576ebcf327fcc8d82
market for light fuel oil|56a7acc14bd3a91ba645840afe7e122d
cover plaster production, organic|82768ff5d65fefcb957497782a54bf5e
natural gas, high pressure, import from NO|9d69b68f73dfbc8c5c31acf9b9ad17f1
electricity production, nuclear, pressure water reactor|88dac36b5e1a201fa7666535af905e38
cyanogen chloride production|ee22070c5537364e777106d77373ebc3
market for o-nitrophenol|6481937f4b7df9823a3084808c805dda
wood preservative production, creosote|8f46edc77b5ac4ae8874ca3da53aed6c
market for carrot seed, Swiss integrated production, at farm|1fff507c8328548a2b741e3ff1e9da6e
electricity voltage transformation from high to medium voltage|0d270ca523d4970e5faecef9a6cf64f8
transport, freight, lorry with refrigeration machine, 3.5-7.5 ton, EURO4, carbon dioxide, liquid refrigerant, freezing|6f5b0f75a85518e9b6535cf261ca67df
market for limestone, crushed, for mill|8ade4695fd5b7646e116fe517f437b29
electricity production, photovoltaic, 3kWp slanted-roof installation, CdTe, laminated, integrated|b2fdfd685318c13fe4fc562e7e0271a5
market for ilmenite, 54% titanium dioxide|21934156eb207c632319ccc2455c57dd
sweet sorghum grain to generic market for energy feed|c9c058f51428cf05bc68c05f97ab9988
heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical|ced0e406d3e5f55971998b802a84fd99
petroleum refinery operation|b1e17465495127a3ddff96347098d5b9
market for particle board, for outdoor use|04faed8093f915263d154313715678c4
esterification of palm oil|8237d205e780c1f23dc9aab66f9c907a
treatment of spent sawing slurry from Si-wafer cutting|d54fa620ab1527106b888b9dde1be2e4
electricity production, oil|6bd7d0b4438c8cbd1c18d06c5152ea55
treatment of coal gas, in power plant|20d840fa32f9442fc1567c1a17546753
market for methylcyclopentane|d53119922e0362d502d3bc63c6998bb3
electricity production, natural gas, conventional power plant|bc57025e04cf9152a184913f055b68e1
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014|917406e418089e2b7ad77db6723ecdfb
market for titanium primary, triple-melt|4dcec323c1521c597301f11b88b4ce18
heat and power co-generation, wood chips, 6667 kW|2a00c121b2d604cce339d56eb693285f
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted|e33f8cce1c618fbc540f9f9a50780e4e
furnace production, pellets, with silo, 300kW|a5586f7d88abf3b98d9a3311b85d67de
market for waste paperboard|132b905a93e56446cb13eb1e5a6980c8
impact extrusion of steel, cold, 4 strokes|8290c87c60abc875bd5e46a1dd394dec
sawing and planing, paraná pine, kiln dried|3a6b5369e5674ca241602fc855934f42
market for stone wool factory|6410309c41337300cdd7dfef51ab557f
textile production, cotton, weaving|56a16da3b9ec65d818871fc7bd87434c
electricity production, hydro, reservoir, alpine region|641bcaabf24c5547d1daf674da64d020
aluminium ingot, primary, to aluminium, cast alloy market|c338b6ae6c6ee0c42270389da769873f
platinum group metal, mine and concentration operations|21cb40530986721ba5d4cd78748b07bf
market for electricity, low voltage|e4c0b2923ee7b7940ae240ff6e37e377
wind turbine construction, 750kW, onshore|4bedcc0dd979d4aa16714e851698f2f0
extrusion, co-extrusion of plastic sheets|cb7556186ea5fc187e5437d633f998a2
phthalimide production|3549dda82d4aed1889997dfac3567c1a
